precinct,raceName,name,votePercentage
1005,County Tax Assessor-Collector,Albert Uresti ,81.46%
1005,"County Commissioner, Precinct No. 1",Gabriel Lara ,20.74%
1005,"County Commissioner, Precinct No. 1","Rebeca ""Becky"" Clay-Flores ",79.26%
1005,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,80.85%
1005,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,19.15%
1005,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,85.99%
1005,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,14.01%
1005,Advanced Transportation District - Proposition A,FOR ,76.89%
1005,Advanced Transportation District - Proposition A,AGAINST ,23.11%
1005,SAN ANTONIO ISD - PROPOSITION A,FOR ,71.12%
1005,SAN ANTONIO ISD - PROPOSITION A,AGAINST ,28.88%
1005,SAN ANTONIO ISD - PROPOSITION B,FOR ,73.22%
1005,SAN ANTONIO ISD - PROPOSITION B,AGAINST ,26.78%
1006,President and Vice President,Donald J. Trump ,25.41%
1006,President and Vice President,Joseph R. Biden ,73.48%
1006,President and Vice President,Jo Jorgensen ,0.77%
1006,President and Vice President,Howie Hawkins ,0.34%
1006,President and Vice President,Write-In Totals ,0.00%
1006,United States Senator,John Cornyn ,26.21%
1006,United States Senator,"Mary ""MJ"" Hegar ",70.87%
1006,United States Senator,Kerry Douglas McKennon ,1.77%
1006,United States Senator,David B. Collins ,1.15%
1006,United States Senator,Write-In Totals ,0.00%
1006,"United States Representative, District 20",Mauro Garza ,21.05%
1006,"United States Representative, District 20",Joaquin Castro ,78.07%
1006,"United States Representative, District 20",Jeffrey Blunt ,0.88%
1006,Railroad Commissioner,"James ""Jim"" Wright ",23.21%
1006,Railroad Commissioner,Chrysta Casta,74.05%
1006,Railroad Commissioner,Matt Sterett ,1.51%
1006,Railroad Commissioner,"Katija ""Kat"" Gruene ",1.24%
1006,"Chief Justice, Supreme Court",Nathan Hecht ,23.02%
1006,"Chief Justice, Supreme Court",Amy Clark Meachum ,74.84%
1006,"Chief Justice, Supreme Court",Mark Ash ,2.13%
1006,"Justice, Supreme Court, Place 6 (Unexpired Term)",Jane Bland ,24.22%
1006,"Justice, Supreme Court, Place 6 (Unexpired Term)",Kathy Cheng ,75.78%
1006,"Justice, Supreme Court, Place 7",Jeff Boyd ,24.62%
1006,"Justice, Supreme Court, Place 7",Staci Williams ,74.22%
1006,"Justice, Supreme Court, Place 7",William Bryan Strange III ,1.16%
1006,"Justice, Supreme Court, Place 8",Brett Busby ,23.13%
1006,"Justice, Supreme Court, Place 8",Gisela D. Triana ,75.53%
1006,"Justice, Supreme Court, Place 8",Tom Oxford ,1.33%
1006,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson ,25.16%
1006,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell ,74.84%
1006,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary ,25.31%
1006,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton ,74.69%
1006,"Judge, Court of Criminal Appeals, Place 9",David Newell ,25.52%
1006,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham ,74.48%
1006,"State Senator, District 26",Jos,85.84%
1006,"State Senator, District 26",Juli,14.16%
1006,"State Representative, District 119",George B. Garza ,22.99%
1006,"State Representative, District 119","Elizabeth ""Liz"" Campos ",74.69%
1006,"State Representative, District 119",Arthur M. Thomas IV ,0.80%
1006,"State Representative, District 119",Antonio Padron ,1.52%
1006,"Chief Justice, 4th Court of Appeals District",Ren,23.37%
1006,"Chief Justice, 4th Court of Appeals District",Rebeca Martinez ,76.63%
1006,"District Judge, 37th Judicial District",Joseph P. Appelt ,22.98%
1006,"District Judge, 37th Judicial District",Nicole Garza ,77.02%
